key;en;de;de_f
TCMI_0000_PROMPT;Child Musicality Index;Child Musicality Index;Child Musicality Index
TCMI_0001_CHOICE1;👎👎;👎👎;👎👎
TCMI_0001_CHOICE2;👎;👎;👎
TCMI_0001_CHOICE3;🤷;🤷;🤷
TCMI_0001_CHOICE4;👍;👍;👍
TCMI_0001_CHOICE5;👍👍;👍👍;👍👍
TCMI_0001_PROMPT;Music is one of my favourite hobbies.;Musik ist eins meiner Lieblingshobbies.;Musik ist eins meiner Lieblingshobbies.
TCMI_0002_CHOICE1;👎👎;👎👎;👎👎
TCMI_0002_CHOICE2;👎;👎;👎
TCMI_0002_CHOICE3;🤷;🤷;🤷
TCMI_0002_CHOICE4;👍;👍;👍
TCMI_0002_CHOICE5;👍👍;👍👍;👍👍
TCMI_0002_PROMPT;I’m obsessed with music – I couldn’t live without it.;Ich bin total verrückt nach Musik - ich könnte nicht ohne Musik leben.;Ich bin total verrückt nach Musik - ich könnte nicht ohne Musik leben.
TCMI_0003_CHOICE1;👎👎;👎👎;👎👎
TCMI_0003_CHOICE2;👎;👎;👎
TCMI_0003_CHOICE3;🤷;🤷;🤷
TCMI_0003_CHOICE4;👍;👍;👍
TCMI_0003_CHOICE5;👍👍;👍👍;👍👍
TCMI_0003_PROMPT;Music is one of the subjects that I’m most interested in.;Musik ist eins meiner Lieblingsfächer in der Schule.;Musik ist eins meiner Lieblingsfächer in der Schule.
TCMI_0004_CHOICE1;👎👎;👎👎;👎👎
TCMI_0004_CHOICE2;👎;👎;👎
TCMI_0004_CHOICE3;🤷;🤷;🤷
TCMI_0004_CHOICE4;👍;👍;👍
TCMI_0004_CHOICE5;👍👍;👍👍;👍👍
TCMI_0004_PROMPT;I like making up my own music.;Ich erfinde gerne meine eigene Musik.;Ich erfinde gerne meine eigene Musik.
TCMI_0005_CHOICE1;👎👎;👎👎;👎👎
TCMI_0005_CHOICE2;👎;👎;👎
TCMI_0005_CHOICE3;🤷;🤷;🤷
TCMI_0005_CHOICE4;👍;👍;👍
TCMI_0005_CHOICE5;👍👍;👍👍;👍👍
TCMI_0005_PROMPT;Making music is a lot of fun for me.;Musik zu machen macht mir sehr viel Spaß.;Musik zu machen macht mir sehr viel Spaß.
TCMI_0006_CHOICE1;👎👎;👎👎;👎👎
TCMI_0006_CHOICE2;👎;👎;👎
TCMI_0006_CHOICE3;🤷;🤷;🤷
TCMI_0006_CHOICE4;👍;👍;👍
TCMI_0006_CHOICE5;👍👍;👍👍;👍👍
TCMI_0006_PROMPT;I like making music with other people.;Ich mache gerne zusammen mit anderen Leuten Musik.;Ich mache gerne zusammen mit anderen Leuten Musik.
TCMI_0007_CHOICE1;👎👎;👎👎;👎👎
TCMI_0007_CHOICE2;👎;👎;👎
TCMI_0007_CHOICE3;🤷;🤷;🤷
TCMI_0007_CHOICE4;👍;👍;👍
TCMI_0007_CHOICE5;👍👍;👍👍;👍👍
TCMI_0007_PROMPT;I like making music or singing many times during the day.;Ich mag es immer wieder am Tag zu singen oder Musik zu machen.;Ich mag es immer wieder am Tag zu singen oder Musik zu machen.
TCMI_0008_CHOICE1;👎👎;👎👎;👎👎
TCMI_0008_CHOICE2;👎;👎;👎
TCMI_0008_CHOICE3;🤷;🤷;🤷
TCMI_0008_CHOICE4;👍;👍;👍
TCMI_0008_CHOICE5;👍👍;👍👍;👍👍
TCMI_0008_PROMPT;When I play music or sing, it makes me feel good.;Ich fühle mich gut, wenn ich singe oder Musik mache.;Ich fühle mich gut, wenn ich singe oder Musik mache.