key;de;de_f;en
TSWB_0000_PROMPT;Subjektives Wohlbefinden Skala;Subjektives Wohlbefinden Skala;Subjective Wellbeing Scale
TSWB_0001_CHOICE1;Überhaupt nicht;Überhaupt nicht;Not at all
TSWB_0001_CHOICE2;1;1;1
TSWB_0001_CHOICE3;2;2;2
TSWB_0001_CHOICE4;3;3;3
TSWB_0001_CHOICE5;4;4;4
TSWB_0001_CHOICE6;5;5;5
TSWB_0001_CHOICE7;6;6;6
TSWB_0001_CHOICE8;7;7;7
TSWB_0001_CHOICE9;8;8;8
TSWB_0001_CHOICE10;9;9;9
TSWB_0001_CHOICE11;Ganz und gar;Ganz und gar;Completely
TSWB_0001_PROMPT;Alles in allem, wie zufrieden bist du mit deinen Leben heutzutage?;Alles in allem, wie zufrieden sind Sie mit Ihrem Leben heutzutage?;All in all, how satisfied are you with your life these days? 
TSWB_0002_CHOICE1;Überhaupt nicht;Überhaupt nicht;Not at all
TSWB_0002_CHOICE2;1;1;1
TSWB_0002_CHOICE3;2;2;2
TSWB_0002_CHOICE4;3;3;3
TSWB_0002_CHOICE5;4;4;4
TSWB_0002_CHOICE6;5;5;5
TSWB_0002_CHOICE7;6;6;6
TSWB_0002_CHOICE8;7;7;7
TSWB_0002_CHOICE9;8;8;8
TSWB_0002_CHOICE10;9;9;9
TSWB_0002_CHOICE11;Ganz und gar;Ganz und gar;Completely
TSWB_0002_PROMPT;Alles in Allem, inwiefern empfindest Du, dass die Dinge, die du in deinem Leben tust, einen Sinn ergeben?;Alles in Allem, inwiefern empfinden Sie, dass die Dinge, die Sie in Ihrem Leben tun, einen Sinn ergeben?;Overall, to what extent do you feel that the things you do in your life make sense?
TSWB_0003_CHOICE1;Überhaupt nicht;Überhaupt nicht;Not at all
TSWB_0003_CHOICE2;1;1;1
TSWB_0003_CHOICE3;2;2;2
TSWB_0003_CHOICE4;3;3;3
TSWB_0003_CHOICE5;4;4;4
TSWB_0003_CHOICE6;5;5;5
TSWB_0003_CHOICE7;6;6;6
TSWB_0003_CHOICE8;7;7;7
TSWB_0003_CHOICE9;8;8;8
TSWB_0003_CHOICE10;9;9;9
TSWB_0003_CHOICE11;Ganz und gar;Ganz und gar;Completely
TSWB_0003_PROMPT;Alles in Allem, wie glücklich fühltest du sich gestern?;Alles in Allem, wie glücklich fühlten Sie sich gestern?;Overall, how happy did you feel yesterday?
TSWB_0004_CHOICE1;Überhaupt nicht;Überhaupt nicht;Not at all
TSWB_0004_CHOICE2;1;1;1
TSWB_0004_CHOICE3;2;2;2
TSWB_0004_CHOICE4;3;3;3
TSWB_0004_CHOICE5;4;4;4
TSWB_0004_CHOICE6;5;5;5
TSWB_0004_CHOICE7;6;6;6
TSWB_0004_CHOICE8;7;7;7
TSWB_0004_CHOICE9;8;8;8
TSWB_0004_CHOICE10;9;9;9
TSWB_0004_CHOICE11;Ganz und gar;Ganz und gar;Completely
TSWB_0004_PROMPT;Alles in Allem, wie ängstlich fühltest du sich gestern?;Alles in Allem, wie ängstlich fühlten Sie sich gestern?;Overall, how anxious did you feel yesterday?